"units","param","class1","class2","xLabel","aggregate","classLabel1","classPalette1","classLabel2","classPalette2"
"New Elec Cap Cost (billion 2010 USD)","elecCumCapCost","Gas CCS","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap (GW)","elecCumCapGW","Bioenergy","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap (GW)","elecCumCapGW","Coal","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap (GW)","elecCumCapGW","Gas","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap (GW)","elecCumCapGW","Geothermal","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap (GW)","elecCumCapGW","Hydro","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap (GW)","elecCumCapGW","Nuclear","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap (GW)","elecCumCapGW","Oil","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap (GW)","elecCumCapGW","Solar","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap (GW)","elecCumCapGW","Wind","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap (GW)","elecCumCapGW","h Bioenergy w/CCS","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap (GW)","elecCumCapGW","Coal CCS","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap (GW)","elecCumCapGW","Gas CCS","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire Cost (billion 2010 USD)","elecCumRetPrematureCost","Bioenergy","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire Cost (billion 2010 USD)","elecCumRetPrematureCost","Coal","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire Cost (billion 2010 USD)","elecCumRetPrematureCost","Gas","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire Cost (billion 2010 USD)","elecCumRetPrematureCost","Geothermal","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire Cost (billion 2010 USD)","elecCumRetPrematureCost","Hydro","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire Cost (billion 2010 USD)","elecCumRetPrematureCost","Nuclear","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire Cost (billion 2010 USD)","elecCumRetPrematureCost","Oil","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire Cost (billion 2010 USD)","elecCumRetPrematureCost","Solar","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire Cost (billion 2010 USD)","elecCumRetPrematureCost","Wind","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire Cost (billion 2010 USD)","elecCumRetPrematureCost","h Bioenergy w/CCS","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire Cost (billion 2010 USD)","elecCumRetPrematureCost","Coal CCS","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire Cost (billion 2010 USD)","elecCumRetPrematureCost","Gas CCS","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire (GW)","elecCumRetPrematureGW","Bioenergy","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire (GW)","elecCumRetPrematureGW","Coal","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire (GW)","elecCumRetPrematureGW","Gas","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire (GW)","elecCumRetPrematureGW","Geothermal","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire (GW)","elecCumRetPrematureGW","Hydro","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire (GW)","elecCumRetPrematureGW","Nuclear","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire (GW)","elecCumRetPrematureGW","Oil","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire (GW)","elecCumRetPrematureGW","Solar","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire (GW)","elecCumRetPrematureGW","Wind","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire (GW)","elecCumRetPrematureGW","h Bioenergy w/CCS","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire (GW)","elecCumRetPrematureGW","Coal CCS","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire (GW)","elecCumRetPrematureGW","Gas CCS","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
